trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
234,False,"{'a': 0.9, 'e': 0.4905763881562751}",30,20,19.15698568760516,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.9, 'e': 0.4890792101003811}",30,16,27.13714957069215,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.9, 'e': 0.48758660124550274}",25,11,-16.86280731570741,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
237,False,"{'a': 0.9, 'e': 0.4860985476470075}",25,11,-25.344149856758584,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
238,False,"{'a': 0.9, 'e': 0.4846150354028201}",25,10,14.328754328950373,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
239,False,"{'a': 0.9, 'e': 0.48313605065329257}",20,6,26.570414978016185,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.9, 'e': 0.481661579581075}",25,7,34.648748361155405,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.9, 'e': 0.4801916084109861}",20,16,6.373449485141418,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.9, 'e': 0.47872612340988496}",25,0,40.040600513562595,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
243,False,"{'a': 0.9, 'e': 0.4772651108865423}",25,15,-20.706532525310468,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
244,False,"{'a': 0.9, 'e': 0.47580855719151294}",30,8,29.15670888568623,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.9, 'e': 0.47435644871700805}",20,10,16.293851986417923,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.9, 'e': 0.472908771896768}",20,11,13.782951530944114,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.9, 'e': 0.4714655132059357}",30,18,18.03054789156145,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.9, 'e': 0.4700266591609304}",25,14,9.04270390154878,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
